date,dailyCases,air_temp,dew_point,RH,Rt,AppleDriving,GoogleWorkplace,GoogleResidential
2020-02-15,0,0.1625,-5.191666666666666,67.79290779512107,NA,136.06,4,NA
2020-02-16,0,1.3472222222222223,-2.8666666666666667,76.89731419183848,NA,107.76,NA,NA
2020-02-17,0,6.933333333333334,1.6208333333333333,70.10649063045305,NA,117.33,-18,NA
2020-02-18,0,1.6833333333333333,-4.360416666666667,65.84553392353514,NA,116.42,-2,NA
2020-02-19,0,-2.2708333333333335,-5.7625,77.78188437943014,NA,113.78,2,NA
2020-02-20,0,-4.85625,-12.14375,59.18452370474059,NA,114.44,1,NA
2020-02-21,0,-3.2833333333333337,-10.2875,62.40833867729924,NA,146.7,20,NA
2020-02-22,0,3.591666666666667,-5.170833333333333,53.96387624180231,NA,155.12,8,NA
2020-02-23,0,7.241666666666667,0.7999999999999999,65.50924036024747,NA,110.48,NA,NA
2020-02-24,0,6.0875,1.8333333333333333,75.20541092943506,NA,95.13,6,NA
2020-02-25,0,3.6333333333333333,-2.6333333333333333,65.22556936949844,NA,108.17,-2,NA
2020-02-26,0,0.6458333333333334,-6.977083333333333,59.29143477432549,NA,115.1,6,NA
2020-02-27,0,-1.0125,-6.816666666666667,66.19228770850663,NA,116.17,1,NA
2020-02-28,0,2.435416666666667,-3.347916666666667,68.56967764753833,NA,141.01,26,NA
2020-02-29,0,4.448611111111111,-2.6236111111111113,65.59400044174409,NA,158,-4,NA
2020-03-01,0,13.241666666666667,1.8791666666666667,47.13739902794777,NA,121.37,NA,NA
2020-03-02,0,5.266666666666667,-1.8291666666666666,62.507832419616875,NA,105.78,7,NA
2020-03-03,0,7.0875,-2.95,54.794193164987725,NA,123.6,3,NA
2020-03-04,0,9.608333333333334,-1.3583333333333334,49.2258812830608,NA,121.2,9,NA
2020-03-05,0,8.658333333333333,-3.7125,46.28106625679859,NA,123.84,-2,NA
2020-03-06,0,4.8875,-6.325,49.127564492059236,NA,159.98,12,NA
2020-03-07,0,9.745833333333334,-6.7125,34.10645918018511,NA,129.21,-6,NA
2020-03-08,0,14.741666666666667,-0.7541666666666668,35.35851221136244,NA,91.25,NA,NA
2020-03-09,0,10.650952380952381,7.3498809523809525,82.15992259233059,NA,102.89,-18,NA
2020-03-10,0,3.6194444444444445,0.022916666666666644,78.40406783158323,NA,109.08,-19,NA
2020-03-11,0,9.081666666666667,4.727878787878788,77.17391793122633,NA,90.68,-20,NA
2020-03-12,0,12.470833333333333,8.245833333333334,76.6012468199492,NA,98.51,-20,NA
2020-03-13,0,4.8375,-2.466666666666667,61.858936707407224,NA,95.96,-7,NA
2020-03-14,0,3.3184722222222223,-0.5020833333333333,77.60411610178187,NA,93.48,0,NA
2020-03-15,0,1.9791666666666667,-2.2583333333333333,73.85627189991473,NA,73.76,NA,NA
2020-03-16,0,3.542361111111111,0.8347222222222221,82.90834796495669,NA,85.15,-15,NA
2020-03-17,0,6.264583333333333,3.0197916666666664,80.53866848674515,NA,72.94,-22,NA
2020-03-18,0,9.881666666666668,7.498611111111111,85.52672462857517,NA,72.52,-28,NA
2020-03-19,0,16.238194444444446,13.229513888888889,83.88242936098229,NA,77.56,-30,NA
2020-03-20,0,4.585416666666666,-1.1965277777777779,67.64361796069161,NA,75.33,-18,NA
2020-03-21,0,0.43750000000000006,-6.508333333333333,62.904143451680035,NA,74.67,-12,NA
2020-03-22,0,3.833333333333333,0.22638888888888892,78.7577483321241,NA,49.5,-27,NA
2020-03-23,0,6.377222222222223,4.518888888888888,88.52524581752584,NA,65.02,-31,NA
2020-03-24,0,8.89375,5.266666666666667,78.68911999764792,NA,62.79,-37,NA
2020-03-25,0,11.135,7.745555555555556,81.14649153736039,NA,70.21,-37,NA
2020-03-26,0,12.25,8.858333333333334,80.24930964793494,NA,78.71,-41,NA
2020-03-27,0,11.422916666666666,9.524305555555555,88.35977855659699,NA,62.87,-27,NA
2020-03-28,0,14.029166666666667,8.2125,75.03348232862376,NA,79.87,-22,NA
2020-03-29,0,11.73125,0.5520833333333334,51.050981175323365,NA,59.82,-27,NA
2020-03-30,1,10.625,0.06666666666666667,55.45604284755618,NA,59.24,-35,NA
2020-03-31,0,13.079166666666666,0.35000000000000003,45.7263819016828,NA,66.25,-42,NA
2020-04-01,0,14.195833333333333,4.708333333333333,56.071759143244854,NA,75.91,-41,NA
2020-04-02,0,16.695833333333333,7.466666666666667,55.06685808134759,NA,76.98,-42,NA
2020-04-03,0,1.6278025793650794,-1.7574801587301587,78.9235896572094,NA,73.18,-32,NA
2020-04-04,1,1.21875,-2.5819444444444444,76.56709111011294,1.1194945902099296,70.96,-22,NA
2020-04-05,0,6.09375,1.0965277777777778,73.51731383800993,1.1190869213205117,57.26,-24,NA
2020-04-06,0,13.579583333333334,10.279375,80.84046118904472,1.118637844308626,67.49,-36,NA
2020-04-07,0,19.90277777777778,13.503819444444444,71.43548949801263,1.1181388925649065,66.58,-42,NA
2020-04-08,0,17.66875,8.445833333333333,62.415360115008184,1.1175827040709652,71.62,-39,NA
